epoch,bw_idx,Bitrate(bps),Selected,CodebookUsage,CodeUtil(%),TimeLoss(e-3),FreqLoss(e-3),FeatLoss(e-3),AdvLoss(e-3),DisLoss(e-3),CommitLoss(e-6),PESQ,ESTOI,TotalScore
15,1,600,1000,256/256,96.76831613248753,41.29695392027497,146.2485602647066,21.633093049749732,575.871843598783,859.772145152092,62211.97932213545,1.9041580531908118,0.5908735267809204,0.474
15,2,1200,1496,512/512,97.44111853055836,40.3181523791848,135.65094570285655,16.539022467163875,596.4745661034623,773.5076544676873,72708.04584464605,2.0013728919236558,0.623346584026898,0.474
16,0,300,487,128/128,95.98855699647497,42.24187891463724,169.73962483342424,27.30841963366439,481.9465491928359,902.1779147016929,49768.739726080785,1.7272564483725505,0.5207429541180754,0.485
16,1,600,984,256/256,97.0118882309262,39.74800729154935,138.9835505193569,19.84164263197501,574.4096577485524,860.5085013479721,68500.4057604971,1.9533650097639665,0.6008766959175418,0.485
16,2,1200,1529,512/512,97.78287356934082,38.413148057848666,128.06895729994915,15.40317155598639,584.389017572038,778.6967706025388,80005.6904115811,2.0804973166921865,0.6364973190498743,0.485
17,0,300,511,128/128,96.53936568717904,41.660863731180385,164.74628314346717,25.929969019181808,480.86553543747755,904.148794783538,52109.778991767336,1.7515604651492576,0.5313548378091395,0.495
17,1,600,966,256/256,97.34465109970553,38.48564459539286,133.87964620384125,18.580787134497555,567.3252612691736,866.0468553534206,71786.08429913195,2.0021651257639346,0.6096346748044478,0.495
17,2,1200,1523,512/512,98.10485589954637,36.83772272701257,122.2668201494436,14.682598609553109,572.0362664345292,781.487405143595,83836.3096313655,2.15418759636257,0.6488012354435199,0.495
18,0,300,506,128/128,96.79931157522894,41.15315000324146,160.97805946476376,25.187576933222797,478.9798046524817,904.1234220676272,49658.80831239723,1.787070352098216,0.5388764385272913,0.505
18,1,600,1026,256/256,97.55451877881733,37.28473497659956,129.56271179703012,17.605598813529195,561.8291710290993,869.0475859256284,68682.66189002503,2.055533388386602,0.6206136014515325,0.505
18,2,1200,1468,512/512,98.37215718365145,35.35303012125336,117.39304111585305,14.04634109705849,560.0318828551987,783.7278985441218,80140.38078263606,2.2247598585875137,0.659278820495026,0.505
19,0,300,453,128/128,96.95968491077758,40.53235092667028,159.18782517873163,24.699828404497364,481.8368637831532,901.3784848827926,47676.25535494971,1.8017669294191443,0.5389636871536371,0.511
19,1,600,1031,256/256,97.71928670272634,36.22025523107105,126.19314038499135,16.95249431832512,558.9475927063265,868.9557078622361,66347.31703843456,2.100809667421424,0.6244558928015548,0.511
19,2,1200,1516,512/512,98.52111584307774,33.9881046257402,112.73738332977396,13.541423269648272,552.3681364815908,783.166441761724,77438.35011816591,2.2829480171203613,0.6669028875765334,0.511
20,0,300,526,128/128,97.20977720650849,40.07638158000467,157.64099416170737,24.269404162443863,480.1041712495764,897.9461347195586,43645.35858422631,1.8188973509747048,0.5435191791686201,0.517
20,1,600,978,256/256,97.93530865798624,35.34286637201997,123.18674558754591,16.486433251800896,555.9934182568684,868.4023476695235,60759.90440396321,2.134171164554098,0.6288620598812603,0.517
20,2,1200,1496,512/512,98.6966327516414,32.834567063622536,108.5598988677649,13.117350426248528,547.2200388228272,783.3712897836206,70809.87443211165,2.3345684279566226,0.6742884705471992,0.517
21,0,300,490,128/128,97.34869899608162,39.28612825669804,156.50157216860325,23.832866488670817,479.88939955830574,895.07821992952,38824.31459366059,1.826591299927753,0.5447057482327868,0.522
21,1,600,1016,256/256,98.04159964923655,34.26711676700965,120.01469827396429,16.00963374192819,562.4593050644447,869.1297700907302,53950.013552506374,2.1629430211108662,0.6336237538974211,0.522
21,2,1200,1494,512/512,98.79599280881371,31.55791286847877,105.49432236247434,12.732141967264404,546.1386063022707,784.3119747029091,62989.15738890688,2.373535912969838,0.6791334537316441,0.522
22,0,300,492,128/128,97.50646349720375,38.558248964297334,156.55304745929996,23.54783476216764,478.6461892772496,891.5440978073492,34275.4174849185,1.8290657478830088,0.5462719140532176,0.525
22,1,600,988,256/256,98.16611760270148,33.22729712676423,117.91597548796821,15.480560561649591,563.5499455004568,866.8355512836201,47725.47321009491,2.1864540576934814,0.6366879172121633,0.525
22,2,1200,1520,512/512,98.88792007748175,30.23883721693174,102.50856121511836,12.3042474654013,542.1083265523378,783.2013507814784,55728.14998265944,2.4032530162645425,0.6832958820663712,0.525
23,0,300,480,128/128,97.68510231624522,38.08382598217577,155.0671197163562,23.049248739456136,483.30014717454713,889.7954383244117,29159.425462906558,1.831106450246728,0.5489120250903813,0.527
23,1,600,983,256/256,98.28199102239176,32.52615485177399,115.99402306250856,15.129054005950357,559.7388783615701,867.3571231163894,40841.93963834131,2.181255713753078,0.6396670499794276,0.527
23,2,1200,1537,512/512,98.9766304943796,29.265558629471837,100.2140113757893,11.960353042443193,537.3211514129605,784.6497962749385,47457.00133257899,2.4211400488148564,0.6894265284123705,0.527
24,0,300,507,128/128,97.77565689444367,37.50261042774076,153.48790603629232,22.282418054647934,482.10801554502115,889.5613075008054,25394.21350895418,1.846241277197133,0.5508601312095945,0.531
24,1,600,990,256/256,98.37626619753627,31.84505379147301,114.538420021835,14.859414607700375,560.1512190669474,869.8746742624226,35488.85952079236,2.2156460026036138,0.6410756774709784,0.531
24,2,1200,1503,512/512,99.04520546170215,28.354632385020565,97.97274824467327,11.695729793530857,537.2412873857115,785.6820123400279,41333.808287908774,2.453673808471016,0.6921189448367205,0.531
25,0,300,482,128/128,97.91182198414884,37.40247297661062,153.42176863266718,21.983430890899722,481.5451711014346,888.4951597180109,22134.79917790138,1.8526141332543415,0.5533622149879599,0.534
25,1,600,1032,256/256,98.5059188411996,31.414077294152953,113.34880356236484,14.644858834348156,558.1782741197782,869.489416422308,30901.893092564835,2.237522622813349,0.6449231391461389,0.534
25,2,1200,1486,512/512,99.13588226182874,27.894661958613916,96.3588428469237,11.570607045662877,533.5455474971442,783.8996001801291,36100.175645337775,2.4796315276104473,0.6946805017502731,0.534
26,0,300,513,128/128,97.9199391102769,37.134403606139664,151.37313193047953,21.468147551949492,480.3087787147154,888.3750493298729,19547.124703725178,1.8531410486801811,0.5547825193214787,0.537
26,1,600,958,256/256,98.54104832021791,30.91635213414351,110.88707542245224,14.44435118267892,554.4838519428617,868.0328280044747,27216.353029837064,2.2516612229139907,0.6475361220834118,0.537
26,2,1200,1529,512/512,99.17199821980431,27.422539752154588,94.46417834631674,11.458574419023751,532.8547414818607,784.178172785757,31782.6196770601,2.4939837870390518,0.6977474860358966,0.537
27,0,300,524,128/128,98.07358873124925,37.02093529664264,150.28990523619507,21.02360971812301,483.10153521881756,886.6011966730803,17742.56655818406,1.8427427281504092,0.5531152773905655,0.538
27,1,600,986,256/256,98.64745147495994,30.76997404808507,109.42090385070195,14.242650395066574,553.5918311130928,867.4875689447531,24696.923911375037,2.2676272081292193,0.6489226860642023,0.538
27,2,1200,1490,512/512,99.24237079863883,26.9689188182554,92.52470293701096,11.337525965083366,530.4955721101505,780.0945821224443,28759.574543859733,2.5158221307008164,0.699658557123044,0.538
28,0,300,518,128/128,98.15372639385335,36.6411703174869,149.3030481011711,20.702582561054975,484.14377822148754,885.253557712415,15493.650731907503,1.851735172064408,0.5557447487356731,0.541
28,1,600,982,256/256,98.71615846306054,30.584724705340058,108.43961672997766,14.157199893571633,552.2444138337542,865.918637414571,21648.044568958812,2.2735959757929263,0.6526307404896692,0.541
28,2,1200,1500,512/512,99.31757615020886,26.72478901098172,91.36813010772069,11.239613154903054,530.1091655840477,779.9837320645651,25300.905738025904,2.539133631664774,0.7031642232738298,0.541
29,0,300,477,128/128,98.16734698494794,36.61438764563022,148.4127179631647,20.369908055856794,486.90441374196445,883.7022272795751,13734.875863859239,1.861632606257563,0.5566293370139855,0.543
29,1,600,1005,256/256,98.74500831817967,30.37559891406873,107.15212735222347,14.02211260069069,553.5324079183797,864.1557870812677,19140.340962368457,2.2929984175640605,0.6551172757397545,0.543
29,2,1200,1518,512/512,99.33252542074926,26.572874806114573,90.07962064250655,11.250329190406246,530.8394111025397,778.1041913195875,22381.94187133719,2.5505539852639902,0.7048449626208823,0.543
30,0,300,492,128/128,98.26412276008438,36.48282469409268,147.5676842700175,20.021634933546306,487.19718861507204,882.7926803652833,12578.384150046764,1.8700499119965925,0.5584665170954302,0.544
30,1,600,1032,256/256,98.82912854633138,30.35381072662886,106.14490776156732,13.858265057567131,555.750155619295,864.3881384600965,17559.45219355094,2.296865836433742,0.6549910580296399,0.544
30,2,1200,1476,512/512,99.38134451458173,26.336353101835744,89.10180040228819,11.227636100209462,532.5084895515173,775.9728569406158,20608.375625063974,2.558983916821687,0.7058576617633776,0.544
31,0,300,535,128/128,98.2996418871961,36.307635704908414,146.24975923901405,19.743273344552406,489.46498142224607,880.6708062920615,11573.954133717256,1.866942892903867,0.5582822402597063,0.545
31,1,600,961,256/256,98.85227976307021,30.177160293158458,105.33961093946749,13.798764709123526,554.5506885160888,860.4389764639888,16321.851972696002,2.3002080502717392,0.6538985991668627,0.545
31,2,1200,1504,512/512,99.40034983578266,26.14774200396533,87.78001300178151,11.171662017078871,533.7953844276118,774.9078825829511,19238.83838475028,2.5830494113590405,0.708389780659859,0.545
